id_avaliacao;texto_processado;classificacao
1;envio rápido apenas dias caixa chegou pouco danificada típico aliexpress quanto teclado bom confortável usar parece teclado mecânico som típico clack clack digitar mim melhor trabalho pc som pode irritante teclado perfeito mim cento recomendado ótimo custo-benefício;positiva
2;bonito qualidade boa acima expectativa preço justo realmente fiquei impressionado botões bons toque bem agradável mouse achei bonito gostei bastante som bom ainda testando porque acabou chegar então posso falar sobre durabilidade uso longo prazo agora satisfeito recomendo bastante;positiva
3;impecável 10/10 bonito confortável boa cor chegou perfeito estado caixa chegou nenhum dano ... satisfeito recomendado peso 0,75 kg gramas;positiva
4;ruim preço plástico gosto simples membrana esperado visual ideal iniciantes;positiva
5;satisfeito melhor esperava preço paguei feliz compra processo compra entrega rápido qualidade produto satisfatória sim recomendo;positiva
6;caixa chegou mau estado produto boas condições funciona perfeitamente emitindo som suave usar teclas fica firme balança pouco pernas extras elevá-lo assim conjunto mantém estável luzes iluminam bem confortável usar teclas podem removidas muita dificuldade tanto mouse quanto teclado bastante leves;positiva
7;teclado funcional boa alternativa teclados gamer caros disponíveis mercado infelizmente possui apenas modos iluminação rgb estacionário piscando lentamente efeito respiração algo equivalente;positiva
8;teclado mouse legais qualidade média uso vamos dar suficiente suficiente realmente gostei disso;positiva
9;teclado verdadeira joia beleza acima tudo excelente jogos altamente recomendado relação custo-benefício 8/10;positiva
10;bom preço tal material pouco fino;positiva
11;produto ruim preço envio precisa melhorar pouca proteção nada além caixa dentro saco mostrado imagens caixa amassada;neutra
12;teclado nada ruim preço pagamos ótimo teclas iluminadas vez apenas caixa geral tudo bem preço perfeito reclamar;neutra
13;produto chegou caixa amassada mouse quebrado algumas partes além disso parece havia sido colocado lá pois encontrados fragmentos peças mouse dentro caixa;neutra
14;teclado bom começar devido qualidade plástico barato recomendado planeja usá-lo longo período bom ajusta bem;neutra
15;dou estrelas porque produto ruim si porque materiais fabricação realmente baratos situação financeira difícil receio comprá-lo puder economizar curto prazo procure opção maior qualidade;neutra
16;trava tecla esc quebrada trocador dpi quebrado caixa amassada;negativa
17;velocidade resposta teclas terrível alguns usos todas teclas soltam estrutura parece ter sido impressa 3d mal feita vão fazer algo tão mal vendam malditos idiotas;negativa
18;embora diga mecânico pareça verdade baseado membrana materiais parecem baixa qualidade;negativa
19;assim recebi item todo rasgado quebrado sequer levei dentro casa realmente irritante produto enviado forma tão descuidada acabou sendo danificado piada;negativa
20;simples diferente teclados vendidos lojas mesma marca acho bamba pouco qualidade recomendo básico uso contínuo cabines recomendo péssimo sinto enganado;negativa
21;item bom uso jogos leve esteticamente agradável única desvantagem além embalagem baixa qualidade vendedor responde tenta obter informações sobre produto;negativa
22;fiz pedido grande surpresa recebi pequeno pôster primeira vez acontece comigo anos comprando aliexpress;negativa
23;chegou quebrado material baixa qualidade conexão usb falhou após dias jogue dinheiro caro ruim;negativa
24;infelizmente pedido chegou forma incorreta teclado quebrado meio mouse faz barulho estranho dentro desconecta pc vez animado produtos funcionaram mim;negativa
25;mouse teclado chegaram quebrados teclado rgb liga jeito nenhum mouse faz clique direito porque veio botão descolado pena porque realmente gosto fato teclado silencioso digitar;negativa
